fips_ipeds,min(dif_white),max(dif_white),median(dif_white),mean(dif_white),sd(dif_white),min(dif_hispa),max(dif_hispa),median(dif_hispa),mean(dif_hispa),sd(dif_hispa),min(dif_black),max(dif_black),median(dif_black),mean(dif_black),sd(dif_black),min(dif_asian),max(dif_asian),median(dif_asian),mean(dif_asian),sd(dif_asian),min(dif_amind),max(dif_amind),median(dif_amind),mean(dif_amind),sd(dif_amind),min(dif_pacis),max(dif_pacis),median(dif_pacis),mean(dif_pacis),sd(dif_pacis),min(dif_twora),max(dif_twora),median(dif_twora),mean(dif_twora),sd(dif_twora)
11,Georgia,-52.95252,38.50862,-2.0724625,-6.52526020555556,25.3498436537105,-17.14395,14.15357,-4.4764985,-4.15371275,5.21917646681479,-29.35265,65.59239,-1.541077,5.73013955925926,26.2029353651238,-4.100193,16.40176,-2.001028,-0.262916677777778,4.48545895508231,-0.8953819,1.26661,-0.09718885,-0.0837405981481481,0.37572548878221,-0.2084886,1.742647,0.0555723,0.134450937037037,0.307420165938633,-2.90745,3.454165,-0.41554125,-0.41354677962963,1.74009061472261
12,Hawaii,-15.74875,6.674253,-5.010108,-4.68299012222222,7.36957977799351,-15.11872,3.650675,-0.7817537,-3.00255526666667,5.60068141846444,-13.78049,6.599611,2.225535,0.0653554444444444,5.81252240533871,-15.84578,12.12888,-3.842208,-4.41191704444444,10.5115743034005,-0.1664353,0.4841223,0.0461699,0.100292455555556,0.250479395473575,-8.065597,52.522,0.6001152,6.1908968,18.7923394611441,-24.69169,8.637934,-1.572327,-6.3998089,11.2122966398732
13,Idaho,-9.750044,18.99796,-2.435583,1.423697,9.37330508871473,-15.5809,4.488079,-5.319292,-4.920306225,6.10398651200991,-0.5010096,1.945515,0.1521772,0.322347275,0.724937987051765,-0.8657189,0.5861603,-0.12040955,-0.14651235,0.623009982049554,-1.549663,0.6640525,-0.3052633,-0.4081861,0.691283898129068,-0.2430644,1.134706,0.2230657,0.2547729375,0.428734854430824,-0.9278851,3.753551,0.1103798,0.5196835125,1.47897005034294
14,Illinois,-45.15811,52.8103,-0.82216395,1.01711807564103,18.0479892177609,-20.49851,32.36298,-3.4371,-1.61883017564103,9.55428530256783,-16.72948,57.53945,-6.124721,-1.71408531666667,13.3830678625049,-5.522049,16.87228,-1.6516075,0.064920617948718,4.67149010090806,-0.8953819,1.374742,-0.0614422,-0.0477612923076923,0.444685805525714,-0.2084886,1.59133,0.0514743,0.15763175,0.378926424399089,-3.188513,15.42525,-0.1410147,-0.329489966666667,2.35165867880793
15,Indiana,-70.64084,32.71088,6.657091,3.38343471956522,19.4961001167902,-16.46599,11.50185,-2.30162,-3.86305226304348,6.72669092341971,-11.64008,79.3213,-6.170095,-0.728668234782609,15.9097966333448,-4.903592,10.39882,-1.9469425,-1.60294867608696,2.42161726669348,-0.7793726,1.230629,-0.0842208,-0.0883365934782609,0.415567420945016,-0.2084886,0.4279243,-0.005873,0.00605278260869565,0.136759197759465,-3.645753,2.041814,-0.3496821,-0.483201056521739,1.36331014851282
16,Iowa,-75.66807,30.61044,-0.37887085,-4.62971616764706,20.7919790225495,-15.10141,4.582427,-1.595996,-2.75780192352941,5.39428762406262,-12.04842,21.44625,-1.860951,0.106061747058823,6.9942313703104,-3.948831,13.67422,-2.165423,-1.22879082352941,3.13793509868975,-1.168013,1.225306,-0.11503415,-0.1169703,0.498275512273459,-0.2084886,1.008774,0.03843165,0.132967667647059,0.263755018924069,-2.718795,3.689608,-0.67238235,-0.542229397058824,1.17771334272233
17,Kansas,-69.95797,28.07698,-8.311266,-6.93786803703704,16.6534631325516,-13.09149,7.001224,-1.104412,-1.9385505037037,5.38952742968927,-10.65001,15.89281,1.366673,1.43773482962963,6.51795723146858,-4.329032,3.552904,-2.269741,-1.92070403703704,1.84240416620663,-3.401899,99.0964,-0.3168269,3.32014542962963,19.1669088185867,-0.2370891,0.6372902,-0.0397781,0.0309914814814815,0.233204341855479,-4.496286,3.048895,-1.46324,-1.47572441851852,1.94101228241558
18,Kentucky,-55.10756,30.72051,1.939833,0.588737786206897,17.676948230462,-16.04235,1.185524,-2.4147,-4.04913861724138,4.90676853419699,-9.891268,51.91224,-3.864028,-1.1053453137931,11.1942644652296,-3.976702,2.315167,-1.260864,-1.29713829655172,1.2317427751424,-0.791755,0.3560048,-0.0030873,-0.0848989896551724,0.317335116969796,-0.2084886,0.2404036,-0.0221531,-0.00182524137931034,0.10528725031523,-3.322121,5.996714,-0.4060073,-0.184893217241379,1.90435784514622
19,Louisiana,-50.50452,26.71162,8.699924,-1.89773190434783,26.0494476490444,-6.141958,27.31386,-1.255328,0.268710786956522,6.6343005982122,-39.42234,56.73655,-14.85315,-3.95740712173913,29.3890896987089,-2.117495,6.099079,0.220716,0.555791156521739,2.20556215830168,-0.6983854,4.963995,-0.3371491,0.113742813043478,1.19581393758857,-0.1295619,0.1907901,0.016336,0.0222723434782609,0.0742603356504964,-2.18073,3.246865,0.8494953,0.616615095652174,1.40328342289128
20,Maine,-11.82895,21.56788,-0.33085365,2.91250048333333,11.1174694905795,-16.93244,3.636143,-5.006311,-5.07103031666667,6.01779710543945,-12.81071,3.30081,-1.3662975,-3.23605695555556,4.49900282553906,-6.687079,2.133612,-0.9920892,-1.53491126666667,2.37845508655117,-1.045763,3.193877,-0.01823035,0.250978622222222,1.06423943610754,-0.2084886,0.3519604,-0.00407925,0.0158395888888889,0.140030894199164,-3.41354,4.768003,0.03157725,-0.0976040777777778,2.15843219551379
21,Maryland,-52.38887,39.37569,0.0436274999999999,-4.72789384375,25.7326979470314,-14.22322,4.025402,-6.463671,-6.258579625,4.67206601863698,-22.2912,76.52197,-4.497407,7.366723365625,26.7847214695758,-5.450919,20.85671,-1.733176,-0.0642985843750001,6.50101333639379,-0.8953819,0.4792675,-0.1848907,-0.180714409375,0.341238211456823,-0.2084886,0.778258,0.01148795,0.0535382125,0.181519444661443,-3.837908,2.385445,0.42778685,-0.18859658125,1.87033535076007
22,Massachusetts,-56.29758,34.19857,2.611148,0.151392157746479,16.9235975765968,-15.39151,21.20745,-6.184214,-5.24459639014085,6.19880159636217,-11.38195,32.22691,-3.708487,-1.83909866901408,8.74303700776607,-6.197618,21.60766,-1.715761,0.496886190140845,6.04991905869716,-0.8953819,1.666342,-0.1841911,-0.303239201408451,0.443252513535984,-0.2084886,0.3965051,-0.0570325,-0.0350856788732394,0.129811060967967,-3.636544,5.021986,-0.5155381,-0.371264129577465,1.73547145751191
